
Started Time:,2017/10/27 14:54:21
E52_E53_E54_KMK confirmation,1.04,24/07/2017
Program Version: ,1.000,2017/10/23 14:46:30
Run Mode: Parallel,Checking Mode: NormalMode,Group Mode: False,
,,,,,,,,,,,11888,11999,120,12199,12299,12399,12599,12699,12499,12501,99997,55000,55001,55002,55003,55004,55005,55006,55007,55008,44,12001,44001,44002,44003,44004,89111,88002,88001,247,247001,247002,247003,247004,289112,288008,288009,347,347001,347002,347003,347004,389112,388008,388009,447,447001,447002,447003,447004,489112,488008,488009,547,547001,547002,547003,547004,589112,588008,588009,647,647001,647002,647003,647004,689112,688008,688009,11609,
,,,,,,,,,,,(0-1-0-0),(0-1-0-0),(0-1-0-0),(0-1-0-0),(0-1-0-0),(0-1-0-0),(0-1-0-0),(0-1-0-0),(3-1-0-0),(3-1-0-0),(3-100-0-10),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(3-1-0-0),(4-1-0-0),
,,,,,,,,,,,(0->0 str),(0->0 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->99999 Str),(0->99999 str),(0->0 str),(0->0 H),(0->99999 Str),(0->99999 Str),(0->99999 Str),(0->99999 Str),(0->99999 Str),(0->99999 Str),(0->99999 Str),(0->99999 Str),(0->99999 Str),(-99->99 D),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->0 str),(0->0 str),(-99->99 D),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->0 str),(0->0 str),(-99->99 D),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->0 str),(0->0 str),(-99->99 D),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->0 str),(0->0 str),(-99->99 D),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->0 str),(0->0 str),(-99->99 D),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 str),(0->99999 Str),(0->0 str),(0->0 str),(0->0 str),
PC Name,IP Add,Mac Add,Item No,QR Code,USB serial,Time,Tact time (s),Result,STEP FAIL,FAIL DATA,Make Graph - Ini for new Chart,Set Chart Direction,Show Chart,Resize Chart,Set chart title,Set chart unit name,Test Graph - Test Fix Range,Test Graph - Test Chart Divide Line setting,Remove Chart 1,Hide graph,Start Polling - Detect Canon Device attach,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,Test Graph - Set User Information,51-Get KMK Value on Rib1,Show Chart,51-Create Data,51-Create chart data,Naming chart data ,Setting Chart,Test Graph - Set User Information,Blue Point,Red Point,51-Get KMK Value on Rib1,52-Create Data,52-Create chart data,Naming chart data ,Setting Chart,Test Graph - Add User Information,Blue Point,Red Point,51-Get KMK Value on Rib1,52-Create Data,52-Create chart data,Naming chart data ,Setting Chart,Test Graph - Add User Information,Blue Point,Red Point,51-Get KMK Value on Rib1,52-Create Data,52-Create chart data,Naming chart data ,Setting Chart,Test Graph - Add User Information,Blue Point,Red Point,51-Get KMK Value on Rib1,52-Create Data,52-Create chart data,Naming chart data ,Setting Chart,Test Graph - Add User Information,Blue Point,Red Point,51-Get KMK Value on Rib1,52-Create Data,52-Create chart data,Naming chart data ,Setting Chart,Test Graph - Add User Information,Blue Point,Red Point,Test Graph - Minimize Chart,DummyHead Serial,
USER-PC\USER,192.168.194.164,60A44C2E3447,Process1,,,2017/10/27 14:54:33,5.18,FAIL,99997,102,nspGeneralChart.clsGeneralChart,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,System.Collections.Generic.List`1[System.Object],0,0,0,0,0,0,0.2,2;0.2,0,0,0,0,0,0,0.3,3;0.3,0,0,0,0,0,0,0.25,4;0.25,0,0,0,0,0,0,0.23,5;0.23,0,0,0,0,0,0,0.28,6;0.28,0,0,0,0,0,0,0,,
USER-PC\USER,192.168.194.164,60A44C2E3447,Item1,,,2017/10/27 14:54:33,,FAIL,
